"Webp Compression","Webp Compression"
"JPEG Compression","JPEG Compression"
"invalid mime type","invalid mime type"
Webkul,Webkul
"Store Optimization Settings","Store Optimization Settings"
"Image Optimization Settings","Image Optimization Settings"
"Enabled Image Optimization","Enabled Image Optimization"
"Compression Type","Compression Type"
"choose between webp and jpeg compression to compress images so that page size and page load times can be improved. Note webp is not supported on safari yet","choose between webp and jpeg compression to compress images so that page size and page load times can be improved. Note webp is not supported on safari yet"
"Enabled Image Responsive Pixels","Enabled Image Responsive Pixels"
"Enabling this option will help loading different DPI images on responsive screens","Enabling this option will help loading different DPI images on responsive screens"
"Enter Comma Separated List Of Responsive Pixels","Enter Comma Separated List Of Responsive Pixels"
"Defer Load Js Settings","Defer Load Js Settings"
"Enable Defer Loading","Enable Defer Loading"
"Infinite Scroller","Infinite Scroller"
"Enable Infinite Scroller","Enable Infinite Scroller"
"Image Lazy Loader","Image Lazy Loader"
"Enable Image Lazy Load","Enable Image Lazy Load"
